DateTime,EraTemperatureMilliDegC,UcTemperatureMilliDegC
02:45.4,63000,994
02:46.2,63000,994
02:50.4,63000,995
02:51.2,63000,995
02:55.5,63000,996
02:56.2,63000,996
03:00.4,63000,997
03:01.2,63000,996
03:05.4,63000,997
03:06.2,63000,997
03:10.5,63000,997
03:11.2,63000,997
03:15.5,63000,998
03:16.2,63000,999
03:20.5,63000,999
03:21.2,63000,999
03:25.5,63000,1000
03:26.2,63000,1000
03:30.5,63000,1000
03:31.3,63000,1000
03:35.5,63000,1001
03:36.3,63000,1001
03:40.5,63000,1002
03:41.3,63000,1002
03:45.5,63000,1002
03:46.3,63000,1002
03:50.5,63000,1003
03:51.3,63000,1004
03:55.5,63500,1004
03:56.3,63000,1004
04:00.5,63500,1005
04:01.3,63500,1004
04:05.6,63500,1005
04:06.3,63500,1006
04:10.5,63500,1006
04:11.3,63500,1006
04:15.6,63500,1007
04:16.3,63500,1007
04:20.6,63500,1007
04:21.3,63500,1007
04:25.6,63500,1008
04:26.3,63500,1008
04:30.6,63500,1008
04:31.4,63500,1008
04:35.6,63500,1009
04:36.4,63500,1009
04:40.6,63500,1010
04:41.4,63500,1010
04:45.6,63500,1011
04:46.4,63500,1010
04:50.6,63500,1011
04:51.4,63500,1011
04:55.6,63500,1011
04:56.4,63500,1011
05:00.6,63500,1012
05:01.4,63500,1012
05:05.6,63500,1013
05:06.4,63500,1013
05:10.6,63500,1013
05:11.4,63500,1014
05:15.7,63500,1014
05:16.4,63500,1014
05:20.7,63500,1015
05:21.4,63500,1015
05:25.7,63500,1015
05:26.4,63500,1016
05:30.7,63500,1016
05:31.5,63500,1016
05:35.7,63500,1016
05:36.5,63500,1017
05:40.7,63500,1017
05:41.5,63500,1017
05:45.7,63500,1018
05:46.5,63500,1018
05:50.7,63500,1018
05:51.5,63500,1018
05:55.7,63500,1019
05:56.5,63500,1019
06:00.7,63500,1019
06:01.5,63500,1019
06:05.7,63500,1020
06:06.5,64000,1020
06:10.7,63500,1021
06:11.5,64000,1020
06:15.8,64000,1021
06:16.5,64000,1021
06:20.8,64000,1022
06:21.5,64000,1022
06:25.8,64000,1022
06:26.5,64000,1022
06:30.8,64000,1022
06:31.5,64000,1022
06:35.8,64000,1023
06:36.5,64000,1024
06:40.8,64000,1024
06:41.5,64000,1024
06:45.8,64000,1024
06:46.6,64000,1024
06:50.8,64000,1025
06:51.6,64000,1025
06:55.8,64000,1026
06:56.6,64000,1026
07:00.8,64000,1026
07:01.6,64000,1026
07:05.8,64000,1026
07:06.6,64000,1027
07:10.8,64000,1027
07:11.6,64000,1027
07:15.8,64000,1028
07:16.6,64000,1027
07:20.9,64000,1028
07:21.6,64000,1028
07:25.9,64000,1029
07:26.6,64000,1029
07:30.9,64000,1029
07:31.6,64000,1029
07:35.9,64000,1029
07:36.6,64000,1029
07:40.9,64000,1029
07:41.6,64000,1030
07:45.9,64000,1030
07:46.7,64000,1030
07:50.9,64000,1031
07:51.7,64000,1031
07:55.9,64000,1031
07:56.7,64000,1032
08:00.9,64000,1032
08:01.7,64000,1032
08:05.9,64000,1032
08:06.7,64000,1032
08:10.9,64000,1033
08:11.7,64000,1033
08:16.0,64000,1033
08:16.7,64000,1033
08:20.9,64000,1033
08:21.7,64000,1033
08:25.9,64000,1034
08:26.7,64000,1035
08:31.0,64000,1035
08:31.7,64000,1035
08:36.0,64000,1035
08:36.7,64000,1035
08:41.0,64000,1036
08:41.7,64000,1036
08:46.0,64000,1036
08:46.7,64000,1036
08:51.0,64000,1036
08:51.8,64000,1036
08:56.0,64000,1037
08:56.8,64000,1037
09:01.0,64000,1037
09:01.8,64000,1037
09:06.0,64000,1038
09:06.8,64500,1038
09:11.0,64500,1038
09:11.8,64000,1038
09:16.0,64500,1038
09:16.8,64500,1038
09:21.0,64500,1039
09:21.8,64500,1039
09:26.1,64500,1040
09:26.8,64500,1040
09:31.0,64500,1040
09:31.8,64500,1040
09:36.1,64500,1040
09:36.8,64500,1041
09:41.1,64500,1041
09:41.8,64500,1041
09:46.1,64500,1041
09:46.8,64500,1041
09:51.1,64500,1041
09:51.8,64500,1041
09:56.1,64500,1042
09:56.9,64500,1042
10:01.1,64500,1043
10:01.9,64500,1043
10:06.1,64500,1043
10:06.8,64500,1043
10:11.1,64500,1043
10:11.9,64500,1043
10:16.1,64500,1044
10:16.9,64500,1044
10:21.1,64500,1044
10:21.9,64500,1044
10:26.1,64500,1044
10:26.9,64500,1045
10:31.1,64500,1045
10:31.9,64500,1044
10:36.2,64500,1045
10:36.9,64500,1046
10:41.2,64500,1046
10:41.9,64500,1046
10:46.2,64500,1046
10:46.9,64500,1046
10:51.2,64500,1046
10:51.9,64500,1046
10:56.2,64500,1046
10:56.9,64500,1047
11:01.2,64500,1047
11:01.9,64500,1047
11:06.2,64500,1047
11:06.9,64500,1047
11:11.2,64500,1048
11:12.0,64500,1048
11:16.2,64500,1048
11:17.0,64500,1048
11:21.2,64500,1048
11:22.0,64500,1049
11:26.2,64500,1049
11:27.0,64500,1049
11:31.2,64500,1049
